date,year,month,week,quarter,season,holiday,promotion,discount,tv_spend,radio_spend,search_spend,facebook_spend,instagram_spend,youtube_spend,display_spend,email_spend,affiliate_spend,competitor_spend,price,inflation,consumer_confidence,sales,revenue,orders,profit,trend,tv_spend_adstock,radio_spend_adstock,search_spend_adstock,facebook_spend_adstock,instagram_spend_adstock,youtube_spend_adstock,display_spend_adstock,email_spend_adstock,affiliate_spend_adstock,tv_spend_hill,radio_spend_hill,search_spend_hill,facebook_spend_hill,instagram_spend_hill,youtube_spend_hill,display_spend_hill,email_spend_hill,affiliate_spend_hill
2022-01-02,2022,1,52,1,Winter,0,0,0,806350.61,103560.89,424653.36,309680.61,176668.32,361123.18,229709.65,73116.92,148057.14,1243337.37,517.14,5.2,106.5,10365,5360156.1,9783,2043356.1,0,806350.61,103560.89,424653.36,309680.61,176668.32,361123.18,229709.65,73116.92,148057.14,0.2827112118152117,0.2005741877140809,0.289121848112177,0.3172352837695527,0.19742599561827964,0.20551624863269755,0.4746283706715355,0.41473586255775957,0.44165937262259874
2022-01-09,2022,1,1,1,Winter,0,0,0,757060.16,221065.05,568471.47,250569.71,281734.59,342843.32,136190.37,99891.51,107788.05,1130510.36,496.62,5.43,99.07,11862,5890906.44,11023,2095066.44,1,1402140.65,272845.5,695867.48,436378.08,378902.17,595629.55,228074.23,114514.89,159608.05,0.4747221923504072,0.46920407941824077,0.4973355324103859,0.445774476545914,0.4358666513033343,0.37719109773461706,0.47249087578217397,0.5372031499930472,0.46399172676802525
2022-01-16,2022,1,2,1,Winter,0,0,0,935207.83,137053.08,521000.87,248262.01,353750.73,385936.58,143113.99,100843.09,89127.15,1123398.74,484.32,5.95,110.26,12890,6242884.8,12213,2118084.8,2,2056920.35,273475.83,729761.11,510088.86,562146.92,802877.26,234343.68,123746.07,144989.97,0.6162395340494483,0.4699512547310108,0.5187278392199124,0.5079900587361456,0.5826772395257,0.5015257974495637,0.4806080831794294,0.5583251702787444,0.43547414947810104
2022-01-23,2022,1,3,1,Winter,0,0,0,846544.28,123074.03,444028.38,302321.92,301801.69,386559.1,230047.55,65601.85,142244.54,1042635.27,512.17,5.55,104.09,11438,5858200.46,10155,2198040.46,3,2492080.56,259811.94,662956.71,608375.23,610982.5,948573.18,323785.02,90351.06,192991.03,0.6816748043580213,0.4533927630378644,0.4755527213494922,0.5778354558165718,0.6127131150449469,0.5718958189901742,0.5769688912742269,0.472125386711585,0.5208938835621334
2022-01-30,2022,1,4,1,Winter,0,0,0,822037.74,163599.98,516013.74,377785.27,253559.67,401853.71,110113.07,104012.38,86486.2,1292771.99,477.16,4.94,87.38,12114,5780316.24,11202,1903836.24,4,2815702.19,293505.95,714900.75,742810.41,589600.04,1065854.94,239627.08,122082.59,154033.06,0.7200319007716208,0.4928879967154681,0.5094773888038047,0.6532446876715834,0.5999592307048051,0.6195798627493848,0.4872896280450368,0.5546508799366905,0.45339876581240285
2022-02-06,2022,2,5,1,Winter,0,0,0,835869.08,239990.93,489736.32,390815.64,302475.61,431696.66,201023.1,70567.65,105777.92,1305865.89,540.3,5.69,109.0,12834,6934210.2,11808,2827330.2,5,3088430.83,386743.91,704206.55,836501.89,626755.63,1177795.12,296873.93,94984.17,159689.49,0.7471174117818953,0.5818017979095527,0.5026960917054575,0.6949561239212131,0.6217455258912775,0.6587073625051783,0.551372074784438,0.48585229404993446,0.4641439723619892
2022-02-13,2022,2,6,1,Winter,0,0,0,857583.16,174706.62,477441.44,419021.77,354540.18,399542.97,187208.94,130500.62,128079.17,1094513.89,531.65,5.13,96.17,13005,6914108.25,12179,2752508.25,6,3328327.82,368078.57,688703.4,920922.9,699255.78,1223999.55,305958.51,149497.45,183970.49,0.7677246056962057,0.5660782570694666,0.49267918715542147,0.7265580739990413,0.659519463751836,0.6732572915622691,0.560301632310493,0.6088117166869664,0.5065451801327557
2022-02-20,2022,2,7,1,Winter,0,0,0,853634.97,141959.05,502866.3,350428.65,353789.55,444235.78,168581.94,64513.62,193928.0,1135207.86,510.27,4.64,94.83,13134,6701886.18,12119,2499006.18,7,3516297.23,325998.34,709477.32,902982.39,738380.23,1301035.47,290965.35,94413.11,258317.67,0.7820946724940224,0.5269844452204767,0.506051392202565,0.7202600538861897,0.6776115467714862,0.6956602723232855,0.5453976111262142,0.48419544931166575,0.6067043311727425
2022-02-27,2022,2,8,1,Winter,0,0,0,773318.09,126843.78,468004.22,383090.13,238048.59,477052.95,184355.89,91179.13,105127.07,1192405.31,508.59,6.1,102.62,11417,5806572.03,10541,2153132.03,8,3586355.87,289842.95,680847.42,924879.56,644157.72,1387777.78,300742.03,110061.75,195538.26,0.7870957298646668,0.4888078136018279,0.48751864541297557,0.7279187461244736,0.6313572921327593,0.7183800762812167,0.5552115221075996,0.5263402237551513,0.5248193486628935
2022-03-06,2022,3,9,1,Spring,0,1,15,996509.61,176579.17,510325.63,410019.65,324897.16,459486.0,178505.52,71784.77,119486.93,1472503.83,507.65,5.68,91.31,13789,6999985.85,12608,2587505.85,9,3865594.31,321500.64,714579.85,964947.39,679183.9,1430930.44,298802.33,93797.12,187925.32,0.8053345745927074,0.5224803781991199,0.5092754214348781,0.7411481741260396,0.6496421293549357,0.7287908210902256,0.5532931977568151,0.48239736833889296,0.5129234606427717
